countrycode,Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Country ID
AGO,Angola,-1.668504553,-2.043068715,-2.087138446,-2.180977523,-2.021029229,-1.97082557,-1.723993607,-1.445416939,-1.449230387,-1.412074526,-1.601674302,-1.589897052,-1.658773552,-1.722837833,-1.80302579,-1.681064042,-1.726641073,-1.499907217,-1.286406783,-1.410296645,-1.3471794,-1.433956236,afago
BDI,Burundi,-0.688654845,-0.511548854,-0.586895918,-0.663476515,0.243100213,-0.010523232,-0.194338287,-0.596237019,0.041571735,0.047659195,-0.017141134,-0.202112748,-0.292339117,-0.402430932,-0.309615919,-0.319189462,-0.110682838,-0.187965893,-0.465612264,-0.81600499,-0.862054399,-0.644410238,afbdi
BEN,Benin,-0.527657264,-0.601041365,-0.503967225,-0.42386484,-0.397507886,-0.642139763,-0.949283857,-1.180317257,-1.01589367,-0.828072542,-0.956680659,-0.775052384,-0.880279264,-0.937902821,-1.05824939,-0.956344433,-0.535507012,-0.382453054,-0.45252956,-0.470964194,-0.638806644,-0.542317422,afben
BFA,Burkina Faso,0.071188119,0.064165652,-0.003095439,-0.280083782,-0.159463227,-0.660659035,-0.772600696,-0.9871698,-0.896344184,-0.801928452,-1.131305009,-1.424245699,-1.259510312,-1.410640009,-1.380175607,-1.393820977,-1.008633534,-1.096425467,-1.28657686,-1.502130826,-1.537978534,-1.423444965,afbfa
BWA,Botswana,,,-0.436039987,-0.494900021,-0.757896833,-0.695017549,-0.720163088,-0.799268335,-0.889489218,-0.992804986,-0.66551883,-0.318764479,-0.184003725,-0.144821804,-0.284198908,-0.429017952,-0.341223402,-0.334495573,-0.515960573,-0.429557345,-0.428186817,-0.329787298,afbwa
CAF,Central African Republic,-0.649123548,-0.424721463,-0.79935275,-0.29229015,-0.163237547,-0.377098251,-0.370650935,-0.445867935,-0.440805779,-0.2795524,-0.414589431,-0.592527571,-0.174875347,-0.041864868,-0.115317662,-0.16005365,0.267472171,0.490116913,0.219395607,-0.17612149,-0.221983386,-0.249997356,afcaf
CIV,Cote d'Ivoire,-1.332226763,-1.412198699,-1.016091488,-0.732921986,-0.753386649,-0.768259336,-0.682536355,-0.667093898,-0.751912363,-0.800203359,-0.923699851,-1.07297687,-1.160998201,-1.073531551,-1.100289963,-1.038966136,-0.865504124,-0.807985261,-0.796001838,-0.876271528,-0.90385519,-0.921774918,afciv
CMR,Cameroon,-1.968208651,-1.817287963,-1.904838245,-1.674620708,-1.348732984,-1.161128684,-1.164699063,-1.556767004,-1.685407806,-1.220198754,-1.0140582,-1.005529797,-1.079684706,-0.931731201,-0.967048703,-0.83732117,-0.821604686,-0.767678184,-0.703803741,-0.852182445,-1.104475466,-1.134707495,afcmr
COD,Democratic Republic of the Congo,-1.766446084,-1.770379438,-1.649753677,-1.668920951,-1.514300769,-1.720019432,-1.552554487,-1.564417337,-1.675027518,-1.694632905,-1.299782296,-1.559965198,-1.570680721,-1.020359697,-1.209535198,-1.138732235,-1.556849168,-1.343236338,-1.768778015,-1.742328591,-1.78018876,-1.666381875,afcod
COG,Republic of the Congo,-1.47697496,-1.42071076,-1.857698743,-1.683684693,-1.95423297,-2.05159812,-2.014465429,-1.966319443,-1.898207819,-1.785414474,-1.285217639,-1.396121091,-1.3480751,-1.388560981,-1.231011099,-1.431098118,-1.288310126,-1.294816384,-1.089750874,-0.8892603,-0.932771529,-1.091640735,afcog
DZA,Algeria,-0.615878172,-0.386467486,-0.500415553,-0.284976716,-0.518091583,-0.621927232,-0.844852287,-0.707950628,-0.708520239,-0.552775162,-0.644936774,-0.770368872,-0.674656765,-0.717037995,-1.159875758,-1.196689657,-1.236344927,-0.971747472,-0.965212485,-0.906138483,-0.857495742,-0.920561949,afdza
EGY,Egypt,-0.385883248,-0.383489664,-0.361678579,-0.405498919,-0.411475765,-0.330825911,-0.231478085,-0.155014806,-0.247468001,-0.292805714,-0.193668673,-0.203223308,-0.220694414,-0.301780363,-0.249759788,-0.133551553,-0.058093515,-0.090891892,-0.07803958,0.004092771,0.015235982,0.002519478,afegy
ETH,Ethiopia,-0.3451533,-0.511194362,-0.793698806,-0.490288791,-0.501155738,-0.557509401,-0.943532258,-0.888866173,-1.028573652,-0.753337451,-0.716094168,-0.749033959,-0.805299308,-0.923419329,-1.081305881,-1.039178787,-0.893993999,-0.933184918,-0.951215662,-0.834853394,-0.656146866,-0.716497012,afeth
GAB,Gabon,-1.315676327,-1.200539747,-1.215269223,-1.447577207,-1.672088663,-1.373518108,-1.390807825,-1.731661401,-1.83281507,-1.993206796,-1.72054709,-1.929788594,-1.946758938,-1.73043376,-1.860354502,-1.972044127,-2.005387712,-1.405800313,-1.678672524,-1.646763243,-1.306961253,-1.404962325,afgab
GHA,Ghana,-1.348184038,-1.34505205,-1.520406864,-1.344748965,-1.502538655,-1.317187998,-1.198617072,-1.068053266,-1.294832948,-1.23461885,-1.142317637,-1.301193766,-1.259292666,-1.03141322,-0.929178696,-0.818931274,-0.950150801,-0.852511929,-0.900803266,-0.997158917,-1.193351637,-1.250012022,afgha
GIN,Guinea,-1.780047029,-1.887267918,-1.765408192,-1.487774229,-1.408039063,-1.76580748,-1.505505147,-1.563159467,-1.430320443,-1.638274601,-2.0161343,-2.084180642,-1.919043357,-1.812532821,-1.834155137,-1.646742293,-1.642679658,-1.374475488,-1.673440245,-1.639721524,-1.726732115,-1.675125579,afgin
GMB,Gambia,-0.713162001,-0.788613898,-0.595494233,-0.296146843,0.24755578,0.118069441,0.115496312,0.019458805,0.048280985,-0.229633949,-0.559560303,-0.650191642,-0.46240295,-0.47080904,-0.560493742,-0.482626817,-0.438515362,-0.559494161,-0.612554284,-1.026064968,-1.025700701,-0.758258584,afgmb
GNB,Guinea-Bissau,-1.80062185,-2.100746909,-2.105134234,-1.980567138,-1.022611068,-0.091803463,-0.219540854,-0.528741173,-1.070747022,-0.787115858,-1.626622453,-1.26066459,-1.418044943,-1.274724628,-1.421142161,-1.355420875,-1.692532836,-2.051015863,-1.350530798,-1.591741088,-1.757946322,-2.319399618,afgnb
GNQ,Equatorial Guinea,,,,,,,,,,,,,,,-2.084439064,-2.288477716,-2.474171294,-2.150861704,-2.154537247,-1.969019483,-2.116988432,-2.026265627,afgnq
KEN,Kenya,0.004921907,-0.158531963,-0.198195624,-0.244661097,-0.354530558,-0.475822415,-0.509155782,-0.376199434,-0.364928781,-0.353970422,-0.346896358,-0.406190855,-0.438801269,-0.521873642,-0.461298706,-0.402887213,-0.348676839,-0.399892408,-0.468924244,-0.487781356,-0.386237889,-0.403245218,afken
LBR,Liberia,-1.644040408,-0.99705565,-0.975090324,-0.795800566,-0.74568454,-0.303954407,-0.287898958,-0.764814607,-0.593513994,-0.936835837,-0.685906988,-0.965779455,-1.062513367,-0.666610916,-0.740423592,-0.514635346,-0.997484831,-0.86609952,-1.084591636,-1.085002353,-1.126020496,-1.283560116,aflbr
LBY,Libya,-0.399989435,-0.277258139,-0.694230959,-0.329166297,-0.437564364,-0.431092268,-0.341760219,-0.3141515,-0.431833515,-0.520525558,-0.61669913,-0.581098544,-0.278168313,0.010707703,-0.067761699,-1.067499486,-1.620430873,-1.32211821,-1.024637493,-0.84749547,-1.223159365,-1.247857283,aflby
LSO,Lesotho,,,-0.817509756,-1.405041997,-1.350409314,-1.779150669,-1.775796729,-1.875234336,-1.715608109,-1.119871564,-0.695855568,-0.794146125,-1.118245301,-1.366917895,-0.989376062,-1.012947105,-0.795496891,-1.126987306,-0.964797132,-0.906260612,-0.810400032,-0.790545373,aflso
MAR,Morocco,-0.755631656,-0.707499003,-0.640759112,-0.720429027,-0.790217096,-0.648148641,-0.586514316,-0.62404237,-0.643914278,-0.705190304,-0.641003436,-0.615917628,-0.591848791,-0.657252217,-0.544238474,-0.482864394,-0.412733456,-0.565175858,-0.610360132,-0.538693837,-0.497242878,-0.410553186,afmar
MDG,Madagascar,-1.288270021,-1.256471104,-1.06273367,-1.159500234,-1.212526905,-1.32399764,-1.310019715,-1.208384242,-1.283801168,-1.224424603,-1.258626106,-1.141880592,-1.075432552,-1.030924373,-0.874468229,-0.940981788,-0.96820214,-1.12302561,-1.26347238,-1.150262352,-1.153192431,-1.085599777,afmdg
MLI,Mali,0.078359717,-0.241677256,-0.373718593,-0.493487901,-0.384083541,-0.794054747,-0.869220602,-0.884334404,-0.757637644,-0.660828893,-0.868096285,-0.797967746,-0.850431023,-0.822449695,-0.845550688,-0.802355378,-0.978708794,-1.29182501,-1.081783236,-0.845207634,-0.84495061,-1.033696659,afmli
MOZ,Mozambique,-0.77495284,-0.459640783,-0.506881874,-0.730321473,-0.845915578,-1.265725903,-1.084184653,-1.062102172,-1.09658758,-1.11436985,-1.244334306,-1.074992191,-1.212061236,-1.149735366,-1.230713107,-1.028637176,-1.121520355,-1.061899136,-1.253359834,-1.272873465,-1.176654003,-1.184018717,afmoz
MRT,Mauritania,-0.855694579,-1.22313357,-1.27635642,-1.21226992,-1.208058508,-0.978240401,-1.077416885,-1.152493895,-1.333670697,-1.36354872,-1.397968699,-1.197435486,-1.536788759,-1.210066748,-1.122445012,-1.135909466,-0.948671523,-1.091551239,-0.926922355,-0.98720695,-1.126121577,-1.232139297,afmrt
MUS,Mauritius,-0.84013896,-0.892653929,-0.811607714,-0.779692492,-0.776264264,-0.58132511,-0.464445553,-0.414694444,-0.49208603,-0.606630551,-0.530392091,-0.547061023,-0.560530841,-0.553820997,-0.37407567,-0.344962733,-0.244011221,-0.34942527,-0.352588078,-0.336693261,-0.206511156,-0.19122678,afmus
MWI,Malawi,-1.47716211,-1.033584697,-1.010664802,-0.991504955,-1.356112177,-1.604200933,-1.533151444,-1.451478415,-1.233488298,-1.183058478,-1.24810758,-1.45385565,-1.243008597,-1.007193826,-0.890756807,-0.823645254,-0.555426839,-0.455547876,-0.498434965,-0.500981299,-0.451603033,-0.571249864,afmwi
NAM,Namibia,,,-0.260253563,-0.332875351,-0.382496241,-0.43024863,-0.465555203,-0.488752514,-0.559901261,-0.613862753,-0.53478328,-0.508387523,-0.428430581,-0.565572726,-0.452877855,-0.44416778,-0.271860214,-0.247266295,-0.372263561,-0.545443441,-0.514891018,-0.563580746,afnam
NER,Niger,0.027422507,-0.006752264,0.104358184,-0.013793732,0.30324614,-0.170051337,-0.185998335,-0.258023154,-0.12284651,0.270223543,0.031799309,-0.271429957,-0.465201659,-0.371774287,-0.60687781,-0.935809982,-0.896351174,-0.8302706,-0.840256962,-0.799789861,-0.5829473,-0.548746535,afner
NGA,Nigeria,-2.364542823,-1.901770812,-2.288910423,-2.086013376,-1.424590819,-1.286081395,-1.366478368,-1.528898939,-1.502796104,-1.555419855,-1.459212484,-1.611039623,-1.66381428,-1.728349319,-1.543924713,-1.35983581,-1.332498551,-1.37439453,-1.295566396,-1.721453373,-1.718222627,-1.55083044,afnga
RWA,Rwanda,-0.536555302,-0.659145814,-0.496701796,-0.17486078,-0.037154933,-0.403338166,-0.439405144,-0.571683961,-0.351438437,0.002854845,-0.180359263,-0.173069527,-0.154604673,-0.224840474,-0.461034751,-0.536256454,-0.588328316,-0.384441983,-0.497812817,-0.624639743,-0.72617882,-0.696520223,afrwa
SDN,Sudan,0.073519132,-0.138208539,-0.587236284,-1.15020244,-0.998230675,-0.955726171,-1.30036229,-1.483923749,-1.837207783,-2.152611181,-2.075531692,-2.140820373,-2.192965907,-2.195716992,-1.673034814,-1.479071978,-1.339028849,-1.364278027,-1.442033618,-1.441968146,-1.404418092,-1.402973171,afsdn
SEN,Senegal,0.088351257,-0.054231276,0.003009217,-0.04479547,-0.055841434,-0.24929066,-0.256094052,-0.180951722,-0.158936888,-0.172900289,-0.303897745,-0.418425779,-0.481114495,-0.50816889,-0.515762979,-0.42121563,-0.362033483,-0.385496168,-0.445352199,-0.430794803,-0.51987436,-0.60335786,afsen
SLE,Sierra Leone,-0.049109056,0.176782057,0.281280776,0.615948074,0.630894452,0.729940605,0.676651477,0.645500206,0.748569272,0.749221737,0.579096903,0.397931581,0.246877941,0.160301554,-0.072966296,-0.300216982,-0.701419292,-0.418469965,-0.400901255,0.005190557,-0.131979212,-0.013814888,afsle
SOM,Somalia,0.16385006,0.398910348,0.455583286,0.526154862,0.329894107,0.081286863,-0.110203633,-0.219930494,-0.474638235,0.316904017,0.146519129,0.104737536,-0.547510061,-0.966122898,-0.932113815,-0.891114153,-1.146673292,-1.159551461,-1.21878999,-1.306740859,-1.282467611,-1.084950407,afsom
SSD,South Sudan,,,,,,,,,,,,,,,-1.996779772,-2.197148999,-3.041060193,-2.984955622,-2.242331051,-2.180015231,-2.139084025,-2.139742917,afssd
SWZ,Eswatini,,,0.186391451,0.087848427,0.021472157,-0.023342353,-0.124270533,-0.011708639,0.21546746,0.241251586,0.307929916,0.330148935,0.176610691,0.023198936,0.145903504,0.245262108,0.269600432,0.174536579,0.304680044,0.344696299,0.207449881,0.02784057,afswz
TCD,Chad,0.267023934,0.061506851,-0.310767289,-0.924610198,-1.130851165,-0.543594419,-1.40683144,-1.307332338,-1.431635113,-1.823585783,-2.608418785,-1.132568632,0.043446444,-0.05225448,-0.87910239,-2.785735894,-2.400262947,-2.257337844,-1.311572741,-1.473370023,-1.631208386,-1.856224422,aftcd
TGO,Togo,-0.51310357,-0.590480195,-0.637826604,-0.663652768,-0.572349604,-0.595714594,-0.473728038,-0.450062882,-0.591606442,-0.800032096,-0.903688101,-0.819366273,-0.811926497,-0.759304104,-0.861294266,-0.696947328,-0.555349451,-0.518181707,-0.547486938,-0.653733545,-0.665845985,-0.795681198,aftgo
TUN,Tunisia,-0.551731172,-0.434998224,-0.315735771,-0.195145845,-0.118421748,-0.049041729,0.018634451,-0.021385309,-0.071632322,-0.097335443,-0.049350721,-0.04717591,-0.005999095,-0.001412263,0.079583926,0.146760436,0.17928834,0.098048174,0.102124032,0.17965721,0.202784034,0.222321986,aftun
TZA,Tanzania,-0.584127836,-0.658306968,-0.865189588,-1.185429675,-1.228721262,-1.441601231,-1.182111779,-1.011171174,-0.944179989,-0.829890102,-0.791000678,-0.785322483,-0.851367751,-0.835730241,-0.7597827,-0.715685651,-0.740673144,-0.915272526,-0.977170554,-1.010083881,-0.478053962,-0.50457597,aftza
UGA,Uganda,-0.446529999,-0.927061398,-0.801640677,-0.731558982,-0.827880535,-0.908634528,-0.820759755,-0.687458887,-0.560991844,-0.5372952,-0.620019413,-0.5554993,-0.591344303,-0.620249827,-0.54970182,-0.407262294,-0.264260806,-0.287948305,-0.364648522,-0.571220965,-0.671820551,-0.770722494,afuga
ZAF,South Africa,0.6696377,0.530787559,0.507678605,0.449338478,0.428617694,0.412074117,0.419819783,0.563680966,0.524218258,0.505504655,0.501890061,0.428701907,0.395207562,0.408461379,0.374888368,0.409297494,0.459665765,0.37030428,0.301323525,0.283625546,0.227995604,0.272948558,afzaf
ZMB,Zambia,-0.124301176,-0.250874182,-0.358493129,-0.655406218,-0.880916735,-0.915171298,-0.973385429,-0.991919172,-0.856216269,-0.838800861,-0.650703155,-0.639686091,-0.57476706,-0.644824717,-0.458276737,-0.210015245,-0.224980013,-0.278081389,-0.589883663,-0.606477727,-0.698844394,-0.634893833,afzmb
ZWE,Zimbabwe,-0.219354874,-0.336795342,-0.333114611,-0.452481428,-0.469528418,-0.42170727,-0.334840679,-0.249962363,-0.184508755,-0.219397824,-0.198797759,-0.319609381,-0.430740304,-0.68500674,-0.698761951,-0.657928701,-0.539541647,-0.617072485,-0.669967351,-0.743908717,-0.714447695,-0.720299701,afzwe
AFG,Afghanistan,0.348631758,0.548194076,0.316952556,0.56721362,0.68356111,0.624449821,0.366551762,0.339567471,0.212267739,-0.047509077,-0.020968382,0.6118987,0.645578415,0.598541657,-0.055950252,-0.615340641,-0.630949805,-0.718820174,-0.791723111,-1.026766217,-1.114901905,-1.036977381,asafg
ARE,United Arab Emirates,-0.579148934,-0.552493067,-0.492905924,-0.387145106,-0.380382067,-0.283229511,-0.161638584,-0.082996776,-0.032523231,-0.143898472,-0.166724289,-0.199578137,-0.136761709,0.07989776,0.051042992,0.098037435,0.122626723,0.171280727,0.24147919,0.189234901,0.220620219,0.307572086,asare
ARM,Armenia,0.965010644,0.852000038,0.91648432,0.465693471,0.321103833,0.112108966,0.045198139,0.080866024,0.224127578,0.476531197,0.506240049,0.500362816,0.25763731,0.191114645,0.321074722,0.215476864,0.185122855,0.065671951,0.045020423,-0.096628365,-0.224837979,-0.276241556,asarm
AZE,Azerbaijan,0.716749972,0.539307044,0.351434148,0.148507669,-0.01304646,-0.088691297,-0.19916064,-0.145949911,-0.277775052,-0.233917773,-0.318478799,-0.638859117,-0.524736978,-0.359922928,-0.15716968,-0.282265472,-0.434638734,-0.488946987,-0.490299888,-0.394509311,-0.495053209,-0.389182485,asaze
BGD,Bangladesh,-1.447764341,-1.376169684,-1.287538212,-1.337026497,-1.435726027,-1.343926914,-1.355647987,-1.191220176,-1.184462755,-1.190587544,-1.110866836,-1.177841234,-1.227262951,-1.341953994,-1.115998367,-1.052001357,-0.937933777,-1.208527451,-1.220482907,-1.077079606,-1.02377313,-0.95631519,asbgd
BHR,Bahrain,,,,,,,,,,0.225671176,0.350493787,0.385168118,0.344329957,0.235321718,0.385560137,0.437538926,0.314706059,0.340939777,0.430579178,0.426456889,0.49021912,0.511173401,asbhr
CHN,China,0.0680034,0.140840236,0.298172462,0.331462692,0.284365798,0.390271526,0.506076091,0.56524495,0.626353746,0.675942214,0.75944057,0.778106222,0.785795834,0.840332596,0.956804113,0.975381837,0.975670146,0.959441742,0.989290797,1.035202681,1.056672554,1.057777479,aschn
CYP,Cyprus,,,,,,,0.674065597,0.692442497,0.7657302,0.81121364,0.978835404,0.990102464,0.947856179,0.916908001,0.86225157,0.767687675,0.66994935,0.613268071,0.630199826,0.6200239,0.603008854,0.570461601,ascyp
GEO,Georgia,0.837322404,0.712844614,0.775256937,0.587923378,0.680420443,0.582437308,0.442203082,0.337391211,0.273791741,0.146720194,0.098493287,0.074278374,0.060471092,0.064631831,0.216632597,0.187919606,0.049561676,0.092727791,0.126854745,0.052795222,0.079641463,0.128883458,asgeo
HKG,Hong Kong,0.152728449,0.259318911,0.431503584,0.465872734,0.480665968,0.592373821,0.593461258,0.582226881,0.611386956,0.59348572,0.650224666,0.703326033,0.719931806,0.812585037,0.922578089,0.924665197,0.873831169,0.91039196,0.98594031,1.010878802,1.056641807,1.059105317,ashkg
IDN,Indonesia,-0.346778008,-0.294733967,-0.229111897,-0.137776388,-0.184735042,-0.112039255,-0.06682784,-0.055818324,-0.057044229,-0.095949795,-0.088090719,-0.166756699,-0.190373878,-0.267733307,-0.173923884,-0.117730594,-0.057290037,-0.073276448,0.001474094,0.004600531,0.035385426,0.077927882,asidn
IND,India,0.193511525,0.195997583,0.267666915,0.306459101,0.283893849,0.328520455,0.386247665,0.432687004,0.380017823,0.368915474,0.359477832,0.345119996,0.348232137,0.309187213,0.409151881,0.430111561,0.451297279,0.480447848,0.550985269,0.608377438,0.624286618,0.630226824,asind
IRN,Iran,0.124819526,0.062420045,-0.10693915,-0.180676792,-0.292647705,-0.344702419,-0.119779245,-0.023500006,0.021198215,-0.08681524,-0.129498563,-0.078857286,-0.015670295,-0.02630075,0.022102522,0.052162601,0.151653984,0.181326916,0.126795543,0.081905391,0.081963539,0.042461993,asirn
IRQ,Iraq,-1.376611565,-2.062637127,-1.85539211,-0.840136351,-1.014427696,-0.040775518,-0.95014594,-0.89865434,-1.375584033,-1.531433255,-1.467599424,-1.576246026,-1.561890134,-1.548726682,-1.517283248,-1.264069729,-1.554860008,-0.49360491,-1.013451101,-0.984811662,-0.68844421,-0.404271828,asirq
ISR,Israel,1.350609148,1.375113995,1.40258939,1.41139367,1.514298095,1.465873569,1.456575208,1.364504153,1.329375408,1.379699395,1.385058688,1.32559091,1.321507978,1.351008668,1.374661501,1.308730445,1.306398359,1.354018295,1.381284159,1.33623746,1.268747057,1.272339681,asisr
JOR,Jordan,0.599162682,0.660574006,0.477588731,0.404931787,0.354837525,0.210315921,0.055534263,-0.026644559,-0.007216077,-0.091751352,0.012849334,0.008014159,0.054747061,0.037574317,0.115234797,0.185816497,0.18720074,0.118613189,0.019358123,0.024352596,0.060807543,0.077236548,asjor
JPN,Japan,2.143156811,2.171832655,2.269120837,2.338148746,2.384390729,2.40543534,2.481900859,2.382085168,2.39404252,2.301068462,2.256801984,2.281749824,2.268478929,2.385816562,2.372373898,2.245999424,2.184562657,2.262751543,2.360299585,2.314818449,2.294850313,2.267671687,asjpn
KAZ,Kazakhstan,0.450418394,0.013664487,-0.154799275,-0.158941753,-0.2263804,-0.319962515,-0.386958441,-0.412615736,-0.27937632,-0.203568803,-0.15655338,-0.133644807,-0.287996492,-0.236158907,-0.11139862,-0.028351356,-0.048461462,0.062403528,0.097848945,-0.038431089,-0.045529792,-0.081392303,askaz
KGZ,Kyrgyzstan,0.437109564,0.381798508,0.41298278,0.46609821,0.290456469,-0.064233528,-0.175450625,-0.112366558,-0.010634509,-0.007642194,0.046177526,0.003514964,-0.170371978,-0.321261592,-0.166999797,-0.070356744,-0.02700813,-0.008131578,0.049519522,0.071836613,0.008057601,-0.048880428,askgz
KHM,Cambodia,-1.854174712,-1.689848674,-1.464104978,-1.46066279,-1.563981792,-1.517335781,-1.581918964,-1.53297111,-1.576655264,-1.488559868,-1.460184591,-1.41236614,-1.453739484,-1.59694443,-1.342830621,-1.141310967,-1.00041206,-1.006963786,-0.932783747,-0.715956376,-0.736755302,-0.730849633,askhm
KOR,South Korea,0.996463537,1.005882705,1.024751295,1.168572482,1.228892865,1.375990138,1.483403452,1.583103384,1.671786829,1.680919424,1.594990297,1.61311332,1.664500306,1.745492932,1.805072991,1.767249306,1.775081358,1.867005936,1.977742659,1.9499938,1.978149661,1.950841546,askor
KWT,Kuwait,-0.112649224,-0.075792663,-0.112941573,0.227678881,0.144793583,-0.030258003,-0.07750379,-0.014362392,-0.189797456,-0.252706079,-0.018163606,0.045332382,0.314273192,0.261091353,0.21415591,0.312445954,0.209859174,0.34700188,0.26292843,0.191371115,0.26746129,0.209757451,askwt
LAO,Laos,-1.543281908,-1.461698511,-1.488382211,-1.423467557,-1.460626762,-1.253046185,-1.29268449,-1.281885083,-1.321299966,-1.280995649,-1.163495307,-1.26307361,-1.254660463,-1.365237783,-1.239213465,-1.031728905,-0.982583355,-0.95306364,-0.951097197,-0.836236697,-0.833339852,-0.815928133,aslao
LBN,Lebanon,0.466580594,0.369360285,0.329835568,0.338472682,0.325263696,0.220850105,0.267846639,0.388962923,0.390538703,0.351241394,0.422652059,0.420153227,0.407299302,0.377822638,0.391887781,0.38604113,0.439950806,0.385509068,0.343714671,0.365872307,0.314557922,0.290623338,aslbn
LKA,Sri Lanka,-1.095135883,-0.987746813,-0.880902144,-0.86513476,-0.93351423,-0.782294891,-0.724225058,-0.68544389,-0.615094679,-0.656895137,-0.610511637,-0.66909874,-0.725317764,-0.79518396,-0.651698547,-0.588308895,-0.451159203,-0.582046322,-0.584619242,-0.477704472,-0.483025668,-0.439817969,aslka
MMR,Burma,-1.515760873,-1.48943447,-1.374298071,-1.449681809,-1.540851894,-1.536160341,-1.367156034,-1.305440528,-1.320651529,-1.458288064,-1.536676661,-1.563403937,-1.651787209,-1.705093663,-1.452181108,-1.308487359,-1.350934162,-1.390131508,-1.313394437,-1.058103057,-0.938001729,-0.943394755,asmmr
MNG,Mongolia,-0.711278328,-0.719339057,-0.692193831,-0.905949294,-1.154561664,-1.237077056,-1.322738895,-1.322805301,-1.305106029,-1.27504934,-1.253559307,-1.086910984,-0.802264863,-1.015528873,-0.762319982,-0.826022047,-0.939967024,-0.96682552,-0.781510215,-0.868844087,-0.867724786,-1.049922205,asmng
MYS,Malaysia,0.378080014,0.489274987,0.568345091,0.790702513,0.881209606,0.974721275,1.049210931,0.932172179,1.01869778,0.972219531,1.002066343,0.948588346,1.000716062,1.073683208,1.132878365,1.150975187,1.120572559,1.099889663,1.136505172,1.149549973,1.164898438,1.13944558,asmys
NPL,Nepal,-0.657086421,-0.561690277,-0.500547482,-0.511317601,-0.533122063,-0.442282573,-0.377653402,-0.386724923,-0.437927382,-0.395431372,-0.317356197,-0.243864817,-0.277111246,-0.368916826,-0.266152661,-0.247549252,-0.223327494,-0.364210609,-0.341211366,-0.357075099,-0.397228303,-0.439461648,asnpl
